fid,X,Y,Ex,Intercept,NAT_AREA,INDUSTRIAL_AREA_SURR,ROADS_SURR
184,9.207,45.969,0.2463290134264456,-0.422636583893144,-0.04678527172777566,0.32331502069121154,0.13900800875773228
185,9.207,46.035,0.1515914813772014,-0.5371432148167659,-0.06854667658573489,0.4096523139806805,0.10120762321487853
186,9.207,46.101,0.0463125783228874,-0.6106028952972187,-0.08140309088354697,0.4503588125596346,0.07686747170076878
187,9.207,46.167,0.0047534583322759,-0.6442707601865678,-0.0862288797620725,0.448743614709856,0.060024413251204
188,9.207,46.233,0.0,-0.6559479153803465,-0.09034814093161452,0.42703310458429866,0.04638265850022137
189,9.273,44.649,0.0,0.0013048922767415786,-0.08853698280538569,1.1548873919995593,-0.3714543222049894
190,9.273,44.715,0.0032352740527186,-0.0070442620879051735,-0.09097641967401437,1.1652495737526356,-0.3726069404598765
191,9.273,44.781,0.0302531468922737,-0.0034656282011328206,-0.09670076421447288,1.1641109304512152,-0.3748276001888165
192,9.273,44.847,0.1258847542858092,0.052258090587841026,-0.1111874105101883,1.0990275531065516,-0.37954829721044975
193,9.273,44.913,0.1786623499320525,0.09822837267280443,-0.15532843874141855,1.0404434605034472,-0.3807729760468398
194,9.273,44.979,0.2889119055901671,0.11606979493489315,-0.2349339051185265,1.0055895459630673,-0.37524663819648607
195,9.273,45.045,0.5472840930532136,0.14375071505602188,-0.27336570435497326,0.8851759383221641,-0.36079359258003574
196,9.273,45.111,0.7725799553252474,0.17923539514373277,-0.29665586126300697,0.5889402949430768,-0.3040995846100913
197,9.273,45.177,0.9784908099739256,0.22783745441339817,-0.32385964178560706,0.16692740616981394,-0.05204844705978104
198,9.273,45.243,1.1550939440781822,0.28713328714181596,-0.3524207854581899,-0.06718352845777514,0.2813774319356157
199,9.273,45.309,1.2620348113130526,0.33185896341873744,-0.381877467326755,-0.06440045216492257,0.37563884997207997
200,9.273,45.375,1.3477820371175817,0.35999411974994044,-0.40445560705687267,-0.0701864299764372,0.38966297291367036
201,9.273,45.441,1.3674515395761049,0.35459369509359895,-0.4171666515780875,-0.0746250699493344,0.39157735001303934
202,9.273,45.507,1.4503781653891177,0.3191308686623197,-0.42340417140270437,-0.07388217361159727,0.3934663156494995
203,9.273,45.573,1.4911875462004531,0.26916628639546525,-0.4235715778593231,-0.06874852292612574,0.39491221677999544
204,9.273,45.639,1.469818426081334,0.16338234675574578,-0.41010979833744465,-0.06702994144134546,0.39366890571743757
205,9.273,45.705,1.2644721648639718,0.0331200015671564,-0.356817807113028,-0.07335402479478997,0.39039476428772846
206,9.273,45.771,1.0556968365089032,-0.10564521106931371,-0.20987862539215907,-0.08006714082597757,0.3846515707462995
207,9.273,45.837,0.6877079187371378,-0.22527821445638646,-0.10003927296553453,-0.03126142603626578,0.36933503356059016
208,9.273,45.903,0.4337344226178521,-0.31317098334457794,-0.06717668749726642,0.24193495085536948,0.29292674225511556
209,9.273,45.969,0.2636552379645626,-0.42144763313690653,-0.06109112991742098,0.38385125946274123,0.1383526733289597
210,9.273,46.035,0.1619001314941166,-0.5468311888303999,-0.07773435540831097,0.4534578930415094,0.0940299858068655
211,9.273,46.101,0.060657466781022,-0.643404944845798,-0.0879398610223262,0.49499199093206125,0.07216555351333212
212,9.273,46.167,0.0104874511857958,-0.6870401508876918,-0.09438320880222352,0.4804820558266101,0.0555271739665367
213,9.273,46.233,3.548348352361643e-05,-0.6906018705490901,-0.09800302824369264,0.4348588158076649,0.0421633562574011
214,9.273,46.299,0.0,-0.6990647382753752,-0.10291034212700714,0.41328002815398746,0.032400482898527753
215,9.273,46.365,0.0,-0.7112740385547409,-0.10807073439317043,0.4115992727255089,0.026049526208636275
216,9.273,46.431,0.0,-0.7161348916198506,-0.11099272559510047,0.4133074874577203,0.022344675655171106
217,9.273,46.497,0.0,-0.7141971721253124,-0.11265983004394806,0.41020892179407575,0.020671822592782114
218,9.339,44.715,0.008666299702736,0.00669461309687914,-0.09212368126026216,1.150832904619648,-0.3677935234231121
219,9.339,44.781,0.0428447629956618,0.015485138629706338,-0.09749648523147289,1.1430785034899333,-0.36883274342395383
220,9.339,44.847,0.1388267241111002,0.05942897983621743,-0.1154882394194118,1.091691550135364,-0.3731506121733506
221,9.339,44.913,0.1739283857994909,0.0932295727963384,-0.16463563600991887,1.044586542527416,-0.3751453902871778
222,9.339,44.979,0.3003959737823734,0.09116255826174097,-0.23877747871912597,1.0364691238494097,-0.3677531485164469
223,9.339,45.045,0.5607019971238447,0.1145233035779748,-0.2777717149315384,0.9837316703532615,-0.3486013218732511
224,9.339,45.111,0.8127017357213265,0.1570024212292248,-0.3030611988948281,0.8390329004510213,-0.24339810812215884
225,9.339,45.177,0.9860166152176192,0.20889671619709807,-0.3339681506871009,0.055239399921315734,0.07041850783393831
226,9.339,45.243,1.171564597955954,0.2741090904983059,-0.3691594389328836,-0.09454259566857484,0.31110458711740807
227,9.339,45.309,1.2896275322378932,0.34243969576346833,-0.40638677367513065,-0.07298485338806368,0.3746972117794378
228,9.339,45.375,1.3911603259202363,0.3951205296813707,-0.4407359142619417,-0.06789906616083981,0.3922062428705444
229,9.339,45.441,1.451559699292632,0.41414266943658484,-0.4653156340482779,-0.0719600066111365,0.39754102293248783
230,9.339,45.507,1.4931333321538551,0.38878461823510324,-0.4800107205048876,-0.06969597811240556,0.40070815932536225
231,9.339,45.573,1.5341367352525723,0.3361632989181864,-0.4777737244913848,-0.06115806635508576,0.4012528280406853
232,9.339,45.639,1.4776469050387315,0.23623387422376688,-0.45728812934537544,-0.05270100578824924,0.3995134232014509
233,9.339,45.705,1.2402386717539309,0.0914002929540774,-0.40036111614025827,-0.05780354952093952,0.3956122878948711
234,9.339,45.771,1.012689944787337,-0.07471516681332077,-0.24025297118347275,-0.06068050017536576,0.38776642234285774
235,9.339,45.837,0.6877425045259319,-0.23132846930051973,-0.11706284372432356,-0.04311719832933053,0.3663614331993914
236,9.339,45.903,0.4344810946771307,-0.32403967070720324,-0.09562602649517345,0.33561019464445074,0.2631828468580431
237,9.339,45.969,0.1835874808575223,-0.41923991810374445,-0.09783948194097922,0.4382265733748836,0.11155302582962773
238,9.339,46.035,0.1187260595638583,-0.5378650142364347,-0.11001169929127577,0.4720875701267065,0.0816465193769228
239,9.339,46.101,0.0679943528741507,-0.6563488442457692,-0.11580633863331075,0.5258728363504006,0.07333104100151555
240,9.339,46.167,0.0223489665498173,-0.7336935940884046,-0.11782254988610558,0.5453886164109326,0.0596122425483486
241,9.339,46.233,0.0017669030202457,-0.7474363020659572,-0.11364100398615176,0.48579815765608336,0.042296938695071305
242,9.339,46.299,0.0,-0.7301816751795523,-0.11347526647858763,0.4327976861624294,0.030460341013126
243,9.339,46.365,0.0,-0.7217296914640967,-0.11373982308439767,0.4203402173585518,0.023460575568643532
244,9.339,46.431,0.0,-0.7186055591410853,-0.11468720389422432,0.415044065889008,0.020393378817827768
245,9.339,46.497,0.0,-0.7135075808962261,-0.11525416551953932,0.40893292453412916,0.019093365048460417
246,9.405,45.045,0.6196617052180594,0.10201072469348912,-0.2843023595347034,1.0402912303872822,-0.319970970999342
247,9.405,45.111,0.8341467395855381,0.13711348743759977,-0.3095561869673038,0.9568190719219951,-0.13667385178463723
248,9.405,45.177,1.002813753976141,0.19190405237307007,-0.34524622426153595,-0.07146366667454707,0.1707390024666158
249,9.405,45.243,1.1855290647084429,0.28584963453075285,-0.39303071947045476,-0.09772516013832047,0.3255928361160671
250,9.405,45.309,1.3680022494766646,0.39479054778904893,-0.44335422362593174,-0.06753214805205632,0.3770286211527942
251,9.405,45.375,1.437538766842973,0.47605365569334074,-0.49056383355932237,-0.053156553906560364,0.4002823058053555
252,9.405,45.441,1.5243779557406412,0.5130791313725016,-0.5238195820743283,-0.0583585259227537,0.40671192215149404
253,9.405,45.507,1.59644510306807,0.4877084868826348,-0.5396472201848426,-0.05714612431984838,0.4085798053681121
254,9.405,45.573,1.5682369893584396,0.4090262503321832,-0.5340445382947668,-0.04577000436506728,0.4084901036192037
255,9.405,45.639,1.4825482418027771,0.30146042722045974,-0.5078852778084408,-0.03322426578369232,0.40854695357897364
256,9.405,45.705,1.2193123943011364,0.17017561798661454,-0.4121036571262128,-0.021097092121698444,0.4048215594566449
257,9.405,45.771,0.9478365317796236,-0.007605847440246836,-0.21433037555774226,0.0036943762009303723,0.3946965877711262
258,9.405,45.837,0.6270255764216635,-0.17649959413876637,-0.13477939831741978,0.10865042839973255,0.35081217808185483
259,9.405,45.903,0.3688951425127476,-0.29672352636713323,-0.12351061013251718,0.42943622443371776,0.190206175769158
260,9.405,45.969,0.1517141986943124,-0.40190021792081493,-0.12430928912857506,0.4643348129847752,0.07975124292744606
261,9.405,46.035,0.0935713428856904,-0.5152780639552103,-0.13363188446125981,0.4680882433344788,0.06759882083107714
262,9.405,46.101,0.0456491999340302,-0.6407700528942466,-0.14507883828844204,0.5257117951302206,0.069931804758145
263,9.405,46.167,0.0234518305984622,-0.7480764493274614,-0.15296112083774277,0.6006511722440971,0.06501881020825591
264,9.405,46.233,0.0006128309558829,-0.7802545620082162,-0.14101379050598842,0.5422789498039926,0.04172122974243744
265,9.405,46.299,0.0,-0.7509702919359018,-0.13002927309006956,0.4510415001179417,0.02629497498487527
266,9.405,46.365,0.0,-0.7218159131121686,-0.12326427530371575,0.4182428724542204,0.01992765729505424
267,9.405,46.431,0.0,-0.7130581353828541,-0.11977268214310767,0.4081954376962061,0.018071053022384778
268,9.405,46.497,0.0,-0.7095839469446689,-0.1185245188169053,0.40436381260347387,0.017471808323629278
269,9.471,45.111,0.8770077148935277,0.13555837805586668,-0.3358833352734766,0.538438455957035,0.009122991255007781
270,9.471,45.177,1.0507678560729783,0.2016033161305102,-0.3772914572587373,-0.08322941562145057,0.22821637749818208
271,9.471,45.243,1.239155767692074,0.34008199147754997,-0.43331279436670933,-0.054125023628605835,0.3366804479264286
272,9.471,45.309,1.4296384028785707,0.47971530890658387,-0.49730252622954063,0.0014569005388648734,0.3855249438836109
273,9.471,45.375,1.469985011049299,0.5676408398278718,-0.5536121466218891,0.015341064443301727,0.41523784013610043
274,9.471,45.441,1.5641902270416488,0.6132530037227739,-0.5929585268515994,0.015110730250734965,0.4233550039432835
275,9.471,45.507,1.6381429331749762,0.5990342057896394,-0.6093879254992023,0.004616682057085143,0.42216005170920107
276,9.471,45.573,1.586348741825659,0.49628082852653477,-0.6001306932205304,0.0017430274972957023,0.4188483639269771
277,9.471,45.639,1.4866426420091912,0.3721224661734761,-0.554328295748405,0.012155619685513822,0.4153513804847112
278,9.471,45.705,1.1955514399804932,0.2286553386875453,-0.4125124994460669,0.03344123711904441,0.41137236835083946
279,9.471,45.771,0.8931777369187246,0.05471927195158936,-0.2122521775919068,0.09717815277816741,0.3962612216080911
280,9.471,45.837,0.5383691826196594,-0.1168886397678226,-0.15234668608265609,0.33174537977844587,0.3053960522627919
281,9.471,45.903,0.2975941453614745,-0.261818769378724,-0.14574686476881804,0.45583506177619765,0.12732017892328915
282,9.471,45.969,0.1230520130708472,-0.38587335698957975,-0.14586423008637656,0.4716889660713752,0.0721818536406655
283,9.471,46.035,0.0656273877475791,-0.5018364652790368,-0.15190310251786754,0.4746988999093361,0.06332628138655041
284,9.471,46.101,0.0319017925505836,-0.624282638615101,-0.16215490169883862,0.5227106992970498,0.06223390380990254
285,9.471,46.167,0.0120384386518615,-0.7258804846016489,-0.17094400898535028,0.5860576177445942,0.05527134676510631
286,9.471,46.233,0.0,-0.7576689440746815,-0.15913363831953742,0.516611568331242,0.02968298386887605
287,9.471,46.299,0.0,-0.7325262038200865,-0.14357570430537664,0.43005612401502896,0.01692625010896532
288,9.471,46.365,0.0,-0.7113035349705434,-0.132790150023137,0.40911177272338584,0.01382279171418075
289,9.471,46.431,0.0,-0.7093806156685561,-0.12565240607229247,0.40560178952735493,0.014336382658602903
290,9.471,46.497,0.0,-0.7093550953903223,-0.12202914504151181,0.404888919827861,0.015078356354478373
291,9.537,45.111,0.9018816542446844,0.1610597076878279,-0.37975807219623625,-0.23750978411398013,0.1024669172942473
292,9.537,45.177,1.076592563514824,0.24177088253596773,-0.42253458834453017,-0.11865378581595683,0.24447743878056485
293,9.537,45.243,1.294518708472112,0.3926753903485807,-0.48490547367767917,0.00984631093595572,0.3472550668505495
294,9.537,45.309,1.4529536824595943,0.5412408124283861,-0.5527093576524524,0.08205894156689013,0.3971759329513796
295,9.537,45.375,1.488908544699141,0.6163039969885376,-0.6074520412037064,0.049051848444728575,0.42303403523354927
296,9.537,45.441,1.6023652128356,0.6637083621223852,-0.6476095593661763,0.06708498960227331,0.43311474081509205
297,9.537,45.507,1.6654501398061483,0.6716385940451568,-0.6630571123415503,0.05392170580149262,0.42838240041351666
298,9.537,45.573,1.5851638058748756,0.5619640511951461,-0.6498338615247442,0.036860094656762335,0.41945131319019857
299,9.537,45.639,1.488044795125373,0.39114239590447103,-0.5880438122274829,0.03500049607498025,0.40751178226706153
300,9.537,45.705,1.1518526182649342,0.20573401057299542,-0.4370610432782053,0.032047268475253805,0.3973944539532081
301,9.537,45.771,0.7442943210244393,0.03356261771197634,-0.2405080000932622,0.05762480105608635,0.36857334468717456
302,9.537,45.837,0.4318779886867272,-0.11055802184529892,-0.17888047555752523,0.3608644678916,0.23649610828059503
303,9.537,45.903,0.1756969511522846,-0.2598155187553877,-0.16895269609098051,0.4591137598558892,0.10004271573299674
304,9.537,45.969,0.0920997633272952,-0.38421335451371796,-0.16674625554326714,0.4799858172105358,0.07140089117919377
305,9.537,46.035,0.0233322203667585,-0.4922945043576934,-0.16790978212359114,0.48313366577900596,0.06164648646232026
306,9.537,46.101,0.0111384896886258,-0.6115843435355288,-0.17257616022577882,0.5290911319746094,0.05552725170608912
307,9.537,46.167,0.0050855130597021,-0.6900490417792305,-0.17640373386305214,0.5503008851953757,0.04112776211266894
308,9.537,46.233,0.0,-0.7086593937101769,-0.1641653322024459,0.47160225029216807,0.015228449110912957
309,9.537,46.299,0.0,-0.6950996325287896,-0.15174536817600887,0.40856655458420765,0.006535094933537404
310,9.537,46.365,0.0,-0.695343065632748,-0.1407629638706886,0.40243820192039886,0.005933805306375588
311,9.603,45.111,0.941118199539656,0.19923965912225636,-0.42356395339209213,-0.2905831851063369,0.09197605604941136
312,9.603,45.177,1.140941377345188,0.30753689790192956,-0.46731200203531864,-0.15389866549316691,0.22380302204049135
313,9.603,45.243,1.3197891128176595,0.4577662859963153,-0.529024716239733,0.08839595697321087,0.3432687142436851
314,9.603,45.309,1.4601676696225958,0.5930765468545219,-0.5945477629458941,0.14449562039086744,0.3935532800982664
315,9.603,45.375,1.5171885761966404,0.6537300081561697,-0.6388200565050206,0.01780900695175805,0.3955161102284515
316,9.603,45.441,1.618213892664823,0.6913056613452796,-0.6725999613549694,0.05377852255537405,0.4066726783367543
317,9.603,45.507,1.68400748369862,0.704699322938763,-0.6836793538063153,0.05657225107599541,0.4041625856657226
318,9.603,45.573,1.6446351700842627,0.5773684040374789,-0.6642681264725253,0.030433015219620437,0.39512366253066805
319,9.603,45.639,1.4784722709453078,0.35932548815292065,-0.5920440472127575,0.016895665696240847,0.37530647682902174
320,9.603,45.705,1.103332546599631,0.14078258591259077,-0.4487689811441045,-0.0011842547975545736,0.3522475381903334
321,9.603,45.771,0.6700472328903986,-0.020118586667491493,-0.2698194122317286,0.008823266097206323,0.30285238533888287
322,9.603,45.837,0.3894713449029527,-0.13512866132566895,-0.2052034238220542,0.33857989156904683,0.17717482752689903
323,9.603,45.903,0.1585121567072629,-0.27863573862006585,-0.19001028727974595,0.4718836242132227,0.0913334685021823
324,9.603,45.969,0.0634300894295995,-0.39237611401168115,-0.18353507791576845,0.4959872421385543,0.07079666274138047
325,9.603,46.035,0.0160829097356706,-0.4881607692055497,-0.18023219014585895,0.4969934482845807,0.05972485354482654
326,9.603,46.101,0.0055664854513794,-0.593333606075526,-0.18193847775146194,0.5302996741892879,0.0517545796987561
327,9.603,46.167,0.0,-0.6626658812912685,-0.18082203465274677,0.5418301563371261,0.03248582123620121
328,9.603,46.233,0.0,-0.6740193079881049,-0.16764828984893035,0.46912654815058885,0.006439843432437044
329,9.603,46.299,0.0,-0.665542220591722,-0.15852878516659574,0.415896704715606,-0.0015736159138917379
330,9.669,45.045,0.8390297306665447,0.11896122945230422,-0.4268999896992587,-0.3077790962945788,-0.019647261030685093
331,9.669,45.111,0.9936668910712784,0.2223069162035691,-0.45735019549401945,-0.2703735098668055,0.038897195638625516
332,9.669,45.177,1.1585446133657655,0.3760294022744428,-0.5061590421879711,-0.13294712984318463,0.16396085556935341
333,9.669,45.243,1.3340883365656775,0.5227863228011134,-0.5688103084020195,0.1616798631684021,0.33940945642926706
334,9.669,45.309,1.4561847507186887,0.6450523359286828,-0.626323947048379,0.22350813620608995,0.3809033541861838
335,9.669,45.375,1.5217763591640103,0.6921365665465242,-0.656976783069998,0.010521777478446837,0.3519460390630957
336,9.669,45.441,1.622688744237852,0.7152928776266965,-0.683007958065519,0.04080942982599965,0.3707600529459155
337,9.669,45.507,1.670613139226072,0.7245450176492354,-0.6892634254219989,0.048203672991517746,0.37729036736833843
338,9.669,45.573,1.622330121147555,0.5903429874490997,-0.6625933005381899,0.02373960353641113,0.37060764410066516
339,9.669,45.639,1.4480431220568726,0.35352683427109954,-0.5795696440182809,0.0065410181679317544,0.34593711416368034
340,9.669,45.705,1.054180022873724,0.1167430651040835,-0.4387020761586594,-0.018374604694639227,0.31436141790977
341,9.669,45.771,0.6221569326371463,-0.0377931173101246,-0.2748119205929796,-0.002315111600054041,0.25030431434912737
342,9.669,45.837,0.3680187762172384,-0.14986537786227697,-0.2162765605149897,0.332850433812422,0.138939829145386
343,9.669,45.903,0.1495217685982725,-0.2887679696018269,-0.2017384714205907,0.4850018094930685,0.08376913347270987
344,9.669,45.969,0.0503207581341369,-0.4015795350622009,-0.1929957885667376,0.5169263345726761,0.06600520993593291
345,9.669,46.035,0.011462785326186,-0.48274210562789505,-0.18821964044212477,0.5083125319024875,0.055676867013967624
346,9.669,46.101,0.0022922242296133,-0.5783239104346232,-0.18806774221842776,0.5350071950192632,0.04751875167481573
347,9.669,46.167,0.0,-0.6484495541208235,-0.184614270771364,0.5516292381052335,0.028519798891007576
348,9.669,46.233,0.0,-0.6600246366020144,-0.17254963309650487,0.4869339730430417,0.0031598845417273092
349,9.669,46.299,0.0,-0.6434608896116971,-0.16545226966473098,0.43270273251559643,-0.006506097060304498
350,9.735,45.045,0.9196440795891058,0.1532456417566423,-0.44773628996209314,0.04961726576364489,-0.040796468975894076
351,9.735,45.111,1.0806757804372455,0.2711565634738855,-0.48175663473880875,-0.13711635995434332,-0.020474287164824648
352,9.735,45.177,1.2245279663171365,0.4441149986829088,-0.5386424796301577,-0.10138448895148224,0.055836262875212594
353,9.735,45.243,1.3490518012435413,0.5785208241972969,-0.5967259263301541,0.16694497249657053,0.25456957867052005
354,9.735,45.309,1.4392852486593433,0.671394412530404,-0.6394484354233627,0.26686509299525407,0.33592827899689126
355,9.735,45.375,1.4940062217003949,0.6995463081118652,-0.6601998785453758,-0.007290127115215261,0.31944897856205157
356,9.735,45.441,1.5546068775305637,0.7201080669684751,-0.6787459642149811,0.04699748498668056,0.3496061833384844
357,9.735,45.507,1.622931689547759,0.7301117289779838,-0.6781942104546692,0.06377361059743016,0.3536620498908484
358,9.735,45.573,1.5897997276726836,0.61124985649942,-0.6480086250634007,0.03748408635450945,0.34759004409195937
359,9.735,45.639,1.412497574602764,0.3797517938857268,-0.5702102239648397,0.014739765003967864,0.32920019651906424
360,9.735,45.705,1.0161396143903985,0.14378565823049155,-0.42741743681491523,-0.011328828321955264,0.2980926503423981
361,9.735,45.771,0.6060771081695923,-0.034089318757338824,-0.26644574207667315,0.008161263719937653,0.21490703374943976
362,9.735,45.837,0.3478529093452953,-0.1468734216868509,-0.2153680783103082,0.3765363505446974,0.10889521405050218
363,9.735,45.903,0.1420582085465506,-0.28314688218747575,-0.2036319097158066,0.49784667796619964,0.07399731940609634
364,9.735,45.969,0.0463114299819814,-0.3920701971338686,-0.19580703756674112,0.5186371344678482,0.0597920759706644
365,9.735,46.035,0.0085635508093111,-0.47450819331510374,-0.19089296829248015,0.5121673827161234,0.050483808863827064
366,9.735,46.101,0.0007795453775012,-0.5678269497079113,-0.1910832955254263,0.5388899742075481,0.04450142742877538
367,9.735,46.167,0.0,-0.6381856913690858,-0.18887725634546168,0.5605087493906848,0.029373914892876635
368,9.735,46.233,0.0,-0.6495176474859358,-0.17790166870702323,0.4987082204376598,0.003193785780383322
369,9.735,46.299,0.0,-0.6326101783832092,-0.17170032454207212,0.4423621257826702,-0.007825202597096435
370,9.735,46.365,0.0,-0.6284636979736384,-0.16930930208047107,0.4370263322908541,-0.011015092145225766
